wavelength_nm,irradiance_W_m2_nm,photon_flux
280,4.7309e-23,6.66845e-05
280.5,1.2307e-21,0.00173783
281,5.6895e-21,0.00804829
281.5,1.5662e-19,0.221947
282,1.1946e-18,1.69588
282.5,4.5436e-18,6.46163
283,1.8452e-17,26.2877
283.5,3.536e-17,50.4648
284,7.267e-16,1038.95
284.5,2.4856e-15,3559.89
285,8.0142e-15,11498.2
285.5,4.2613e-14,61245.1
286,1.3684e-13,197016
286.5,8.3823e-13,1.20896e+06
287,2.7367e-12,3.95396e+06
287.5,1.0903e-11,1.578e+07
288,6.2337e-11,9.03778e+07
288.5,1.7162e-10,2.49251e+08
289,5.6265e-10,8.18577e+08
289.5,2.0749e-09,3.02391e+09
290,6.0168e-09,8.78389e+09
290.5,1.3783e-08,2.01564e+10
291,3.5052e-08,5.13486e+10
291.5,1.0913e-07,1.60142e+11
292,2.683e-07,3.94391e+11
292.5,4.2685e-07,6.28528e+11
293,8.6466e-07,1.27537e+12
293.5,2.2707e-06,3.35499e+12
294,4.1744e-06,6.17824e+12
294.5,6.5911e-06,9.77162e+12
295,1.229e-05,1.82514e+13
295.5,2.7826e-05,4.13934e+13
296,4.7904e-05,7.13817e+13
296.5,7.1345e-05,1.06491e+14
297,9.68e-05,1.44729e+14
297.5,0.00018608,2.78683e+14
298,0.00028988,4.34868e+14
298.5,0.00035789,5.37796e+14
299,0.00049211,7.40724e+14
299.5,0.00086068,1.29766e+15
300,0.0010205,1.5412e+15
300.5,0.001245,1.88338e+15
301,0.00193,2.92447e+15
301.5,0.0026914,4.08497e+15
302,0.0029209,4.44065e+15
302.5,0.004284,6.52376e+15
303,0.0070945,1.08215e+16
303.5,0.0089795,1.37194e+16
304,0.0094701,1.44928e+16
304.5,0.011953,1.83226e+16
305,0.016463,2.52774e+16
305.5,0.018719,2.87884e+16
306,0.018577,2.86168e+16
306.5,0.021108,3.25687e+16
307,0.027849,4.30399e+16
307.5,0.035635,5.51626e+16
308,0.037837,5.86666e+16
308.5,0.04143,6.43418e+16
309,0.040534,6.30523e+16
309.5,0.043306,6.74733e+16
310,0.050939,7.94942e+16
310.5,0.06554,1.02445e+17
311,0.082922,1.29824e+17
311.5,0.08408,1.31848e+17
312,0.093376,1.4666e+17
312.5,0.098984,1.55718e+17
313,0.10733,1.69118e+17
313.5,0.10757,1.69766e+17
314,0.11969,1.89196e+17
314.5,0.1306,2.0677e+17
315,0.13625,2.16058e+17
315.5,0.11838,1.88019e+17
316,0.12348,1.9643e+17
316.5,0.15036,2.39568e+17
317,0.17158,2.7381e+17
317.5,0.18245,2.91616e+17
318,0.17594,2.81653e+17
318.5,0.18591,2.98082e+17
319,0.2047,3.28724e+17
319.5,0.19589,3.1507e+17
320,0.20527,3.30673e+17
320.5,0.24525,3.95695e+17
321,0.25024,4.04376e+17
321.5,0.23843,3.85891e+17
322,0.22203,3.59907e+17
322.5,0.21709,3.52446e+17
323,0.21226,3.45139e+17
323.5,0.24861,4.0487e+17
324,0.27537,4.49143e+17
324.5,0.28321,4.62644e+17
325,0.27894,4.5637e+17
325.5,0.32436,5.31498e+17
326,0.3812,6.25596e+17
326.5,0.40722,6.69323e+17
327,0.39806,6.55269e+17
327.5,0.38465,6.34162e+17
328,0.35116,5.79832e+17
328.5,0.37164,6.14584e+17
329,0.42235,6.99506e+17
329.5,0.46878,7.77585e+17
330,0.47139,7.83101e+17
330.5,0.428,7.12096e+17
331,0.40262,6.70883e+17
331.5,0.41806,6.97663e+17
332,0.43623,7.29083e+17
332.5,0.43919,7.35135e+17
333,0.42944,7.19896e+17
333.5,0.40724,6.83706e+17
334,0.41497,6.97728e+17
334.5,0.44509,7.49492e+17
335,0.46388,7.82301e+17
335.5,0.45313,7.65312e+17
336,0.41519,7.02279e+17
336.5,0.38214,6.47338e+17
337,0.3738,6.34151e+17
337.5,0.40051,6.80472e+17
338,0.43411,7.38652e+17
338.5,0.45527,7.75802e+17
339,0.46355,7.91078e+17
339.5,0.47446,8.10891e+17
340,0.5018,8.58881e+17
340.5,0.50071,8.58275e+17
341,0.47139,8.09204e+17
341.5,0.46935,8.06883e+17
342,0.48934,8.42481e+17
342.5,0.50767,8.75317e+17
343,0.51489,8.89062e+17
343.5,0.48609,8.40556e+17
344,0.41843,7.2461e+17
344.5,0.40307,6.99025e+17
345,0.45898,7.97143e+17
345.5,0.48932,8.51068e+17
346,0.47778,8.32199e+17
346.5,0.48657,8.48734e+17
347,0.49404,8.63008e+17
347.5,0.47674,8.33988e+17
348,0.47511,8.32332e+17
348.5,0.48336,8.48002e+17
349,0.46564,8.18086e+17
349.5,0.47805,8.41092e+17
350,0.52798,9.3027e+17
350.5,0.56741,1.00117e+18
351,0.55172,9.74875e+17
351.5,0.53022,9.3822e+17
352,0.51791,9.17741e+17
352.5,0.48962,8.68844e+17
353,0.5204,9.24773e+17
353.5,0.57228,1.01841e+18
354,0.60498,1.07812e+18
354.5,0.61156,1.09139e+18
355,0.6114,1.09264e+18
355.5,0.59028,1.05638e+18
356,0.55387,9.92616e+17
356.5,0.51942,9.32184e+17
357,0.45673,8.20826e+17
357.5,0.46215,8.3173e+17
358,0.43006,7.7506e+17
358.5,0.39926,7.20557e+17
359,0.46953,8.48557e+17
359.5,0.56549,1.0234e+18
360,0.59817,1.08405e+18
360.5,0.56531,1.02592e+18
361,0.52024,9.4544e+17
