wavelength_nm,n,k
250,1.665,3.665
260,1.757,4.084
270,2.068,4.68
280,2.959,5.287
290,4.356,5.286
300,4.976,4.234
310,5.121,3.598
320,5.112,3.303
330,5.195,3.1
340,5.301,2.977
350,5.494,2.938
360,6.026,2.966
370,6.891,2.171
380,6.616,0.946
390,6.039,0.445
400,5.613,0.296
410,5.33,0.227
420,5.119,0.176
430,4.949,0.138
440,4.812,0.107
450,4.691,0.086302
460,4.587,0.071381
470,4.497,0.062086
480,4.419,0.055004
490,4.35,0.049131
500,4.294,0.044165
510,4.241,0.039367
520,4.193,0.036415
530,4.151,0.033108
540,4.112,0.030295
550,4.077,0.027968
560,4.045,0.025758
570,4.015,0.024131
580,3.988,0.022524
590,3.963,0.021081
600,3.94,0.019934
610,3.918,0.018446
620,3.898,0.017367
630,3.879,0.016444
640,3.861,0.015432
650,3.844,0.014431
660,3.828,0.013498
670,3.813,0.012743
680,3.798,0.011905
690,3.784,0.011201
700,3.772,0.010528
710,3.759,0.010057
720,3.748,0.0096257
730,3.737,0.0089461
740,3.727,0.008362
750,3.717,0.0078185
760,3.708,0.007197
770,3.699,0.0067402
780,3.691,0.0063933
790,3.683,0.005834
800,3.675,0.0054113
810,3.668,0.0049955
820,3.661,0.0046134
830,3.654,0.0042734
840,3.647,0.0039439
850,3.641,0.003612
860,3.635,0.0032781
870,3.63,0.0029839
880,3.624,0.0026821
890,3.619,0.0024293
900,3.614,0.0021701
910,3.609,0.0019625
920,3.604,0.0017571
930,3.6,0.0015467
940,3.595,0.0013689
950,3.591,0.0011793
960,3.587,0.0010237
970,3.583,0.00087225
980,3.579,0.00074866
990,3.575,0.00062238
1000,3.572,0.0005093
1010,3.568,0.00041071
1020,3.565,0.00032386
1030,3.562,0.00024753
1040,3.559,0.00018704
1050,3.556,0.0001362
1060,3.553,9.3631e-05
1070,3.55,6.8118e-05
1080,3.547,5.3285e-05
1090,3.545,4.0768e-05
1100,3.542,3.0637e-05
1110,3.54,2.3849e-05
1120,3.537,1.7825e-05
1130,3.535,1.3488e-05
1140,3.532,9.0718e-06
1150,3.53,6.223e-06
1160,3.528,3.877e-06
1170,3.526,2.0483e-06
1180,3.524,6.1036e-07
1190,3.522,3.4091e-07
1200,3.52,2.1008e-07
1210,3.518,1.2518e-07
1220,3.517,7.9609e-08
1230,3.515,4.6004e-08
1240,3.513,2.3682e-08
1250,3.511,9.9472e-09
1260,3.509,3.6096e-09
1270,3.508,2.0213e-09
1280,3.506,1.2223e-09
1290,3.505,7.2885e-10
1300,3.503,4.6553e-10
1310,3.502,2.8147e-10
1320,3.5,1.6807e-10
1330,3.499,8.467e-11
1340,3.497,3.7322e-11
1350,3.496,1.8263e-11
1360,3.495,1.0281e-11
1370,3.494,6.5413e-12
1380,3.492,4.173e-12
1390,3.491,2.5441e-12
1400,3.49,1.5597e-12
1410,3.489,9.5374e-13
1420,3.488,5.65e-13
1430,3.487,2.8449e-13
1440,3.486,2.0626e-13
1450,3.485,1.3846e-13
