# Silver (Ag) complex refractive index -- McPeak et al. 2015 (see silver_permittivity_SOURCE.txt)
# Rebuilt directly from the user-supplied refractiveindex.info export (McPeak.csv), merging its n-block and k-block on wavelength.
wavelength_nm,n,k
300.0,1.646857286,0.972336834
310.0,1.455629699,0.572501372
320.0,0.920058628,0.331538655
330.0,0.233797996,0.585441289
340.0,0.103893124,1.052042671
350.0,0.075998580,1.326866905
360.0,0.063180003,1.533000885
370.0,0.056279242,1.708000982
380.0,0.050752406,1.858729622
390.0,0.048660415,1.995461810
400.0,0.045728950,2.122943979
410.0,0.044519520,2.241825593
420.0,0.043287376,2.357153749
430.0,0.041992656,2.465312026
440.0,0.041101491,2.573264334
450.0,0.040932342,2.675756988
460.0,0.040956736,2.776954709
470.0,0.040727224,2.873753418
480.0,0.040781493,2.972181544
490.0,0.041249589,3.066333564
500.0,0.041373355,3.159400537
510.0,0.041602686,3.251112238
520.0,0.042372750,3.342124392
530.0,0.042204211,3.433188197
540.0,0.043403286,3.522198723
550.0,0.043817181,3.610113564
560.0,0.044507429,3.697023250
570.0,0.045973387,3.783928323
580.0,0.046819894,3.870683674
590.0,0.046840293,3.957169950
600.0,0.047410447,4.041936139
610.0,0.048985705,4.126305805
620.0,0.049617793,4.208973975
630.0,0.051101901,4.293088795
640.0,0.051646932,4.376833034
650.0,0.050913370,4.460223332
660.0,0.053388535,4.543110205
670.0,0.052475104,4.623716431
680.0,0.054218627,4.705947265
690.0,0.054429231,4.788419629
700.0,0.054860386,4.869087149
710.0,0.056538596,4.950777375
720.0,0.057401233,5.034212441
730.0,0.057733458,5.113152956
740.0,0.059629401,5.195339803
750.0,0.060113603,5.274430173
760.0,0.059047193,5.356816832
770.0,0.063824207,5.436181889
780.0,0.063464686,5.512987191
790.0,0.062217489,5.598827647
800.0,0.063950702,5.678123783
810.0,0.067473356,5.753307975
820.0,0.067636134,5.836229489
830.0,0.068189561,5.911315405
840.0,0.067475107,5.995544420
850.0,0.070135706,6.076505494
860.0,0.070503234,6.155320520
870.0,0.072455233,6.235643492
880.0,0.073943622,6.313593878
890.0,0.074927946,6.389805490
900.0,0.074793597,6.469203512
910.0,0.077646805,6.547597195
920.0,0.078779580,6.627986589
930.0,0.080106493,6.706073147
940.0,0.080039752,6.784129005
950.0,0.081098618,6.865098469
960.0,0.083963945,6.942265476
970.0,0.082327665,7.024370281
980.0,0.085322860,7.100090140
990.0,0.087779237,7.177095875
1000.0,0.088025428,7.254153877
1010.0,0.090501937,7.335202151
1020.0,0.091223005,7.410959562
1030.0,0.093163641,7.488436383
1040.0,0.090978009,7.571609934
1050.0,0.093069308,7.647526521
1060.0,0.087488108,7.738194503
1070.0,0.090085692,7.812561387
1080.0,0.091414911,7.896414166
1090.0,0.089521860,7.969003336
1100.0,0.087625115,8.055909518
1110.0,0.090461037,8.131677760
1120.0,0.094528298,8.207066199
1130.0,0.092749501,8.287376091
1140.0,0.095451077,8.352970185
1150.0,0.084359933,8.445952676
1160.0,0.095878288,8.521220138
1170.0,0.097053265,8.593219381
1180.0,0.094932930,8.675598669
1190.0,0.098324452,8.749095250
1200.0,0.094881447,8.829439534
1210.0,0.098216298,8.901272181
1220.0,0.098772673,8.982747689
1230.0,0.095285601,9.065378059
1240.0,0.103767060,9.140665600
1250.0,0.100172489,9.224588583
1260.0,0.105090726,9.306720371
1270.0,0.103513926,9.373618039
1280.0,0.106644981,9.450046198
1290.0,0.107642765,9.532921219
1300.0,0.112669175,9.605555390
1310.0,0.115274563,9.681233817
1320.0,0.110070769,9.760538693
1330.0,0.113725572,9.839915320
1340.0,0.110796441,9.919993743
1350.0,0.115127087,9.983749508
1360.0,0.121692797,10.074959510
1370.0,0.120000737,10.143687700
1380.0,0.127761842,10.211577890
1390.0,0.127391401,10.305640620
1400.0,0.129567338,10.371440970
1410.0,0.129532614,10.454509970
1420.0,0.139425972,10.541794890
1430.0,0.136689082,10.613137330
1440.0,0.133767600,10.696162570
1450.0,0.137534330,10.767493470
1460.0,0.136002449,10.846128190
1470.0,0.140018996,10.945300600
1480.0,0.145683795,10.996418680
1490.0,0.143029825,11.086498890
1500.0,0.140671824,11.161083660
1510.0,0.146851335,11.217466970
1520.0,0.145574468,11.303149650
1530.0,0.151117653,11.410645750
1540.0,0.159989508,11.454501150
1550.0,0.156488871,11.566956760
1560.0,0.163061728,11.596835310
1570.0,0.146280234,11.703905240
1580.0,0.160846655,11.761201960
1590.0,0.160289135,11.858570430
1600.0,0.179696729,11.893371720
1610.0,0.177528577,12.001729730
1620.0,0.174448570,12.107866550
1630.0,0.180256871,12.147941910
1640.0,0.185834026,12.235380430
1650.0,0.184528070,12.292438760
1660.0,0.196882981,12.385021720
1670.0,0.175222972,12.457556060
1680.0,0.194315172,12.567726860
1690.0,0.205536840,12.634961230
1700.0,0.198531592,12.703519780
