# ZnO (ordinary ray) refractive index -- Bond 1965 (see zno_permittivity_SOURCE.txt); k=0
# 450-1249 nm: user-supplied refractiveindex.info tabulation (Bond-o.csv), values VERBATIM (um->nm decimal shift only).
# 385-450 nm: Handbook of Optics Sellmeier-formula extrapolation, kept only for headroom below the table's stated 450 nm floor.
wavelength_nm,n,k
385,2.270375,0.0
388,2.257464,0.0
391,2.245390,0.0
394,2.234075,0.0
397,2.223450,0.0
4E+2,2.213453,0.0
403,2.204031,0.0
406,2.195137,0.0
409,2.186728,0.0
412,2.178765,0.0
415,2.171214,0.0
418,2.164045,0.0
421,2.157230,0.0
424,2.150744,0.0
427,2.144563,0.0
4.3E+2,2.138667,0.0
433,2.133037,0.0
436,2.127655,0.0
439,2.122507,0.0
442,2.117577,0.0
445,2.112852,0.0
448,2.108319,0.0
4.5E+2,2.1053991205326,0.0
485.5,2.0641591809475,0.0
521,2.0364046576963,0.0
556.5,2.0165620222097,0.0
592,2.0017431825226,0.0
627.5,1.9903034132443,0.0
663,1.9812384299481,0.0
698.5,1.9739011625339,0.0
734,1.967856501676,0.0
769.5,1.9628015020141,0.0
805,1.9585190453341,0.0
840.5,1.9548496746958,0.0
876,1.951673803947,0.0
911.5,1.9489001072286,0.0
947,1.9464577250055,0.0
982.5,1.9442909019182,0.0
1018,1.9423552170941,0.0
1053,1.9406381786474,0.0
1089,1.9390407747225,0.0
1125,1.9375897258996,0.0
1.16E+3,1.9362996770244,0.0
1196,1.9350800934911,0.0
1231,1.9339851200848,0.0
