block,row,dir,set,tta,status,n,mae,rmse,rho_pooled,rms_s_over_rmse,picp_1s,picp_2s,picp_3s,mean_E,se_E,max_E,n_claimable,true_col
surrogate,deployed v2 (reference; #4 TTA),tta_deployed,test,off,done,272,0.005442178342491388,0.006913483142852783,0.7005626693997438,1.003098152087698,0.6507352941176471,0.9522058823529411,0.9963235294117647,,,,,
surrogate,deployed v2 (reference; #4 TTA),tta_deployed,test,on,done,272,0.005442476365715265,0.006912258919328451,0.7011556636391594,1.005287267288392,0.6507352941176471,0.9522058823529411,0.9963235294117647,,,,,
surrogate,#8 NLL + shared splits,kfold_off,test,off,done,272,0.005264889448881149,0.006702272687107325,0.7057228879449331,1.02479097334743,0.6727941176470589,0.9558823529411765,1.0,,,,,
surrogate,#8 NLL + shared splits,kfold_off,test,on,done,272,0.005287302657961845,0.006715970579534769,0.6937292820470975,1.0273193081030618,0.6691176470588235,0.9595588235294118,1.0,,,,,
surrogate,#9 SmoothL1 + k-fold,smoothl1_kfold,test,off,done,272,0.005409155506640673,0.006819618865847588,0.6852127889601141,0.24334992372833905,0.20955882352941177,0.3382352941176471,0.46691176470588236,,,,,
surrogate,#9 SmoothL1 + k-fold,smoothl1_kfold,test,on,done,272,0.005414593033492565,0.006822217721492052,0.6935257248101562,0.21035063681005306,0.17279411764705882,0.3125,0.41544117647058826,,,,,
surrogate,#9 SmoothL1 + shared,smoothl1_shared,test,off,done,272,0.005304294638335705,0.006692779716104269,0.6974295842224612,0.2587754089629355,0.19852941176470587,0.375,0.4963235294117647,,,,,
surrogate,#9 SmoothL1 + shared,smoothl1_shared,test,on,done,272,0.005318751093000174,0.006711609195917845,0.6986118549884824,0.21856192202203126,0.15808823529411764,0.3272058823529412,0.4375,,,,,
surrogate,#10 D4 train-aug off,augment_off,test,off,done,272,0.005992445163428783,0.007565153297036886,0.626356006704247,0.9999450327689026,0.6544117647058824,0.9595588235294118,1.0,,,,,
surrogate,#10 D4 train-aug off,augment_off,test,on,done,272,0.006111853290349245,0.0078078629449009895,0.6207476044906044,1.0104580009444597,0.7022058823529411,0.9558823529411765,1.0,,,,,
surrogate,#11 FFT channel off,fft_off,test,off,done,272,0.006253683473914862,0.0077898139134049416,0.5592961412600937,1.1035354160307758,0.7279411764705882,0.9632352941176471,1.0,,,,,
surrogate,#11 FFT channel off,fft_off,test,on,done,272,0.006286324001848698,0.007787934970110655,0.5644929173145802,1.108401746591206,0.7169117647058824,0.9632352941176471,1.0,,,,,
surrogate,#12 naive split (own test set),naive_split,test,off,done,272,0.005572716239839792,0.007031671237200499,0.598333458242571,0.9710983133624482,0.6617647058823529,0.9485294117647058,0.9963235294117647,,,,,
surrogate,#12 naive split (own test set),naive_split,test,on,done,272,0.005569627974182367,0.007032549474388361,0.591835722819947,0.975462785929414,0.6654411764705882,0.9485294117647058,0.9963235294117647,,,,,
surrogate,#13 ensemble k=1 (shared),ens_k1,test,off,done,272,0.005981259513646364,0.007588590960949659,0.6116174519911884,1.1042364943123855,0.7022058823529411,0.9816176470588235,1.0,,,,,
