name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,cmaes,2.64170,2.64170,2.64971,1.771,CLAIMABLE,nan
candidate_0001,cmaes,2.64163,2.64163,2.64610,1.633,CLAIMABLE,nan
candidate_0002,cmaes,2.64144,2.64144,2.64922,1.753,CLAIMABLE,nan
candidate_0003,cmaes,2.64061,2.64061,2.66043,2.183,CLAIMABLE,nan
candidate_0004,cmaes,2.64054,2.64054,2.64683,1.660,CLAIMABLE,nan
candidate_0005,cmaes,2.64038,2.64038,2.65749,2.070,CLAIMABLE,nan
candidate_0006,cmaes,2.64011,2.64011,2.65658,2.035,CLAIMABLE,nan
candidate_0007,cmaes,2.63996,2.63996,2.64987,1.777,CLAIMABLE,nan
candidate_0008,cmaes,2.63973,2.63973,2.62209,0.710,CLAIMABLE,nan
candidate_0009,cmaes,2.63958,2.63958,2.64535,1.604,CLAIMABLE,nan
candidate_0010,cmaes,2.63924,2.63924,2.64905,1.746,CLAIMABLE,nan
candidate_0011,gradient,2.63909,2.63909,2.65435,1.949,CLAIMABLE,nan
candidate_0012,gradient,2.63900,2.63900,2.65059,1.805,CLAIMABLE,nan
candidate_0013,cmaes,2.63892,2.63892,2.64068,1.424,CLAIMABLE,nan
candidate_0014,gradient,2.63873,2.63873,2.65344,1.914,CLAIMABLE,nan
candidate_0015,gradient,2.63841,2.63841,2.64119,1.444,CLAIMABLE,nan
candidate_0016,gradient,2.63813,2.63813,2.66151,2.225,CLAIMABLE,nan
candidate_0017,gradient,2.63810,2.63810,2.66183,2.237,CLAIMABLE,nan
candidate_0018,gradient,2.63775,2.63775,2.65356,1.919,CLAIMABLE,nan
candidate_0019,gradient,2.63770,2.63770,2.65513,1.979,CLAIMABLE,nan
