name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,screen,2.62074,2.61922,2.61287,0.356,CLAIMABLE,nan
candidate_0001,screen,2.61987,2.61836,2.61616,0.483,CLAIMABLE,nan
candidate_0002,screen,2.61912,2.61762,2.62445,0.801,CLAIMABLE,nan
candidate_0003,screen,2.61873,2.61725,2.62244,0.724,CLAIMABLE,nan
candidate_0004,screen,2.61844,2.61692,2.61505,0.440,CLAIMABLE,nan
candidate_0005,screen,2.61764,2.61615,2.62959,0.999,CLAIMABLE,nan
candidate_0006,screen,2.61749,2.61599,2.60861,0.192,ELITE-VERIFY,nan
candidate_0007,screen,2.61744,2.61592,2.61441,0.416,CLAIMABLE,nan
candidate_0008,screen,2.61738,2.61588,2.61525,0.448,CLAIMABLE,nan
candidate_0009,screen,2.61725,2.61577,2.61640,0.492,CLAIMABLE,nan
candidate_0010,screen,2.61701,2.61552,2.61297,0.360,CLAIMABLE,nan
candidate_0011,screen,2.61698,2.61550,2.62189,0.703,CLAIMABLE,nan
candidate_0012,screen,2.61695,2.61546,2.61289,0.357,CLAIMABLE,nan
candidate_0013,screen,2.61680,2.61528,2.62100,0.669,CLAIMABLE,nan
candidate_0014,screen,2.61666,2.61518,2.61392,0.397,CLAIMABLE,nan
candidate_0015,screen,2.61659,2.61509,2.61051,0.265,ELITE-VERIFY,nan
candidate_0016,screen,2.61634,2.61485,2.62196,0.706,CLAIMABLE,nan
candidate_0017,screen,2.61630,2.61479,2.60897,0.206,ELITE-VERIFY,nan
candidate_0018,screen,2.61627,2.61476,2.62797,0.936,CLAIMABLE,nan
candidate_0019,screen,2.61623,2.61465,2.61522,0.446,CLAIMABLE,nan
