generation,cell,method,true_E60,gain_vs_cell_mean_pct,verdict
v1,jitter_s006,cmaes,2.63406,0.692,CLAIMABLE
v1,jitter_s006,cmaes,2.62796,0.459,CLAIMABLE
v1,jitter_s006,cmaes,2.631,0.575,CLAIMABLE
v1,jitter_s006,cmaes,2.62827,0.471,CLAIMABLE
v1,jitter_s006,cmaes,2.63484,0.722,CLAIMABLE
v1,jitter_s006,cmaes,2.63452,0.71,CLAIMABLE
v1,jitter_s006,cmaes,2.63556,0.75,CLAIMABLE
v1,jitter_s006,cmaes,2.62984,0.531,CLAIMABLE
v1,jitter_s006,cmaes,2.64277,1.025,CLAIMABLE
v1,jitter_s006,cmaes,2.63038,0.552,CLAIMABLE
v1,jitter_s006,cmaes,2.62562,0.369,CLAIMABLE
v1,jitter_s006,gradient,2.63171,0.602,CLAIMABLE
v1,jitter_s006,cmaes,2.63878,0.872,CLAIMABLE
v1,jitter_s006,gradient,2.63162,0.599,CLAIMABLE
v1,jitter_s006,gradient,2.62945,0.516,CLAIMABLE
v1,jitter_s006,gradient,2.62831,0.472,CLAIMABLE
v1,jitter_s006,gradient,2.63352,0.671,CLAIMABLE
v1,jitter_s006,gradient,2.63818,0.85,CLAIMABLE
v1,jitter_s006,gradient,2.63613,0.771,CLAIMABLE
v1,jitter_s006,gradient,2.63211,0.618,CLAIMABLE
v1,jitter_s008,cmaes,2.63892,0.571,CLAIMABLE
v1,jitter_s008,cmaes,2.6457,0.83,CLAIMABLE
v1,jitter_s008,cmaes,2.64681,0.872,CLAIMABLE
v1,jitter_s008,cmaes,2.63453,0.404,CLAIMABLE
v1,jitter_s008,cmaes,2.65485,1.178,CLAIMABLE
v1,jitter_s008,cmaes,2.63766,0.523,CLAIMABLE
v1,jitter_s008,cmaes,2.64763,0.903,CLAIMABLE
v1,jitter_s008,cmaes,2.63744,0.515,CLAIMABLE
v1,jitter_s008,cmaes,2.641,0.651,CLAIMABLE
v1,jitter_s008,cmaes,2.65249,1.088,CLAIMABLE
v1,jitter_s008,cmaes,2.63595,0.458,CLAIMABLE
v1,jitter_s008,cmaes,2.63868,0.562,CLAIMABLE
v1,jitter_s008,gradient,2.64316,0.733,CLAIMABLE
v1,jitter_s008,gradient,2.65452,1.166,CLAIMABLE
v1,jitter_s008,gradient,2.63639,0.475,CLAIMABLE
v1,jitter_s008,gradient,2.63473,0.412,CLAIMABLE
v1,jitter_s008,gradient,2.64431,0.777,CLAIMABLE
v1,jitter_s008,gradient,2.64225,0.698,CLAIMABLE
v1,jitter_s008,gradient,2.65032,1.006,CLAIMABLE
v1,jitter_s008,gradient,2.6485,0.937,CLAIMABLE
v1,jitter_s010,cmaes,2.64439,0.9,CLAIMABLE
v1,jitter_s010,cmaes,2.64284,0.841,CLAIMABLE
v1,jitter_s010,cmaes,2.64729,1.011,CLAIMABLE
v1,jitter_s010,cmaes,2.64486,0.918,CLAIMABLE
v1,jitter_s010,cmaes,2.64876,1.067,CLAIMABLE
v1,jitter_s010,cmaes,2.65973,1.486,CLAIMABLE
v1,jitter_s010,cmaes,2.65514,1.311,CLAIMABLE
v1,jitter_s010,cmaes,2.64351,0.867,CLAIMABLE
v1,jitter_s010,cmaes,2.65046,1.132,CLAIMABLE
v1,jitter_s010,cmaes,2.64029,0.744,CLAIMABLE
v1,jitter_s010,cmaes,2.64463,0.91,CLAIMABLE
v1,jitter_s010,cmaes,2.64338,0.862,CLAIMABLE
v1,jitter_s010,gradient,2.64304,0.849,CLAIMABLE
v1,jitter_s010,gradient,2.64967,1.102,CLAIMABLE
v1,jitter_s010,gradient,2.64783,1.032,CLAIMABLE
v1,jitter_s010,gradient,2.64009,0.736,CLAIMABLE
v1,jitter_s010,gradient,2.65356,1.25,CLAIMABLE
v1,jitter_s010,gradient,2.64368,0.873,CLAIMABLE
v1,jitter_s010,gradient,2.65584,1.337,CLAIMABLE
v1,jitter_s010,gradient,2.64821,1.046,CLAIMABLE
v1,jitter_s0125,cmaes,2.64285,1.14,CLAIMABLE
v1,jitter_s0125,cmaes,2.65968,1.784,CLAIMABLE
v1,jitter_s0125,cmaes,2.65333,1.541,CLAIMABLE
v1,jitter_s0125,cmaes,2.65353,1.549,CLAIMABLE
v1,jitter_s0125,cmaes,2.63268,0.751,CLAIMABLE
v1,jitter_s0125,cmaes,2.64539,1.238,CLAIMABLE
v1,jitter_s0125,cmaes,2.63974,1.021,CLAIMABLE
v1,jitter_s0125,cmaes,2.65772,1.709,CLAIMABLE
v1,jitter_s0125,cmaes,2.63702,0.917,CLAIMABLE
v1,jitter_s0125,cmaes,2.63302,0.764,CLAIMABLE
v1,jitter_s0125,cmaes,2.64457,1.206,CLAIMABLE
v1,jitter_s0125,cmaes,2.63653,0.898,CLAIMABLE
v1,jitter_s0125,gradient,2.65923,1.767,CLAIMABLE
v1,jitter_s0125,gradient,2.64669,1.287,CLAIMABLE
v1,jitter_s0125,gradient,2.63655,0.899,CLAIMABLE
v1,jitter_s0125,gradient,2.64014,1.037,CLAIMABLE
v1,jitter_s0125,gradient,2.65203,1.491,CLAIMABLE
v1,jitter_s0125,gradient,2.63158,0.709,CLAIMABLE
v1,jitter_s0125,gradient,2.65099,1.452,CLAIMABLE
v1,jitter_s0125,gradient,2.65329,1.54,CLAIMABLE
v1,jitter_s015,cmaes,2.65221,1.867,CLAIMABLE
v1,jitter_s015,cmaes,2.65477,1.966,CLAIMABLE
v1,jitter_s015,cmaes,2.65941,2.144,CLAIMABLE
v1,jitter_s015,cmaes,2.66736,2.449,CLAIMABLE
v1,jitter_s015,cmaes,2.6385,1.341,CLAIMABLE
v1,jitter_s015,cmaes,2.644,1.552,CLAIMABLE
v1,jitter_s015,cmaes,2.64717,1.673,CLAIMABLE
v1,jitter_s015,cmaes,2.65473,1.964,CLAIMABLE
v1,jitter_s015,cmaes,2.62667,0.886,CLAIMABLE
v1,jitter_s015,gradient,2.65616,2.019,CLAIMABLE
v1,jitter_s015,cmaes,2.63861,1.345,CLAIMABLE
v1,jitter_s015,gradient,2.6579,2.086,CLAIMABLE
v1,jitter_s015,cmaes,2.63457,1.19,CLAIMABLE
v1,jitter_s015,cmaes,2.64536,1.604,CLAIMABLE
v1,jitter_s015,gradient,2.66578,2.389,CLAIMABLE
v1,jitter_s015,gradient,2.64142,1.453,CLAIMABLE
v1,jitter_s015,gradient,2.66615,2.403,CLAIMABLE
v1,jitter_s015,gradient,2.65224,1.868,CLAIMABLE
v1,jitter_s015,gradient,2.64202,1.476,CLAIMABLE
v1,jitter_s015,gradient,2.65062,1.806,CLAIMABLE
v1,radius_s015,cmaes,2.63153,1.234,CLAIMABLE
v1,radius_s015,cmaes,2.63562,1.391,CLAIMABLE
v1,radius_s015,cmaes,2.62916,1.143,CLAIMABLE
v1,radius_s015,cmaes,2.6449,1.748,CLAIMABLE
v1,radius_s015,cmaes,2.64065,1.585,CLAIMABLE
v1,radius_s015,cmaes,2.63857,1.505,CLAIMABLE
v1,radius_s015,cmaes,2.643,1.675,CLAIMABLE
v1,radius_s015,cmaes,2.64042,1.576,CLAIMABLE
v1,radius_s015,cmaes,2.63488,1.363,CLAIMABLE
v1,radius_s015,cmaes,2.64119,1.605,CLAIMABLE
v1,radius_s015,cmaes,2.63205,1.254,CLAIMABLE
v1,radius_s015,gradient,2.63475,1.358,CLAIMABLE
v1,radius_s015,gradient,2.64062,1.583,CLAIMABLE
v1,radius_s015,gradient,2.63065,1.2,CLAIMABLE
v1,radius_s015,cmaes,2.63038,1.189,CLAIMABLE
v1,radius_s015,gradient,2.64782,1.861,CLAIMABLE
v1,radius_s015,gradient,2.62521,0.991,CLAIMABLE
v1,radius_s015,gradient,2.63108,1.216,CLAIMABLE
v1,radius_s015,gradient,2.63466,1.354,CLAIMABLE
v1,radius_s015,gradient,2.63839,1.498,CLAIMABLE
v1,radius_s020,cmaes,2.64573,1.612,CLAIMABLE
v1,radius_s020,cmaes,2.64111,1.434,CLAIMABLE
v1,radius_s020,cmaes,2.6543,1.941,CLAIMABLE
v1,radius_s020,cmaes,2.64438,1.56,CLAIMABLE
v1,radius_s020,cmaes,2.66759,2.452,CLAIMABLE
v1,radius_s020,cmaes,2.64263,1.493,CLAIMABLE
v1,radius_s020,cmaes,2.63983,1.386,CLAIMABLE
v1,radius_s020,cmaes,2.63609,1.242,CLAIMABLE
v1,radius_s020,cmaes,2.63918,1.361,CLAIMABLE
