name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,cmaes,2.64327,2.64327,2.64118,1.443,CLAIMABLE,nan
candidate_0001,cmaes,2.64325,2.64325,2.65713,2.056,CLAIMABLE,nan
candidate_0002,cmaes,2.64301,2.64301,2.64081,1.429,CLAIMABLE,nan
candidate_0003,cmaes,2.64261,2.64261,2.65128,1.831,CLAIMABLE,nan
candidate_0004,cmaes,2.64253,2.64253,2.64641,1.645,CLAIMABLE,nan
candidate_0005,cmaes,2.64245,2.64245,2.63882,1.353,CLAIMABLE,nan
candidate_0006,cmaes,2.64220,2.64220,2.65331,1.910,CLAIMABLE,nan
candidate_0007,cmaes,2.64212,2.64212,2.64743,1.684,CLAIMABLE,nan
candidate_0008,cmaes,2.64197,2.64197,2.65571,2.001,CLAIMABLE,nan
candidate_0009,gradient,2.64141,2.64141,2.65363,1.922,CLAIMABLE,nan
candidate_0010,cmaes,2.64131,2.64131,2.65167,1.847,CLAIMABLE,nan
candidate_0011,cmaes,2.64123,2.64123,2.66360,2.305,CLAIMABLE,nan
candidate_0012,gradient,2.64096,2.64096,2.64251,1.495,CLAIMABLE,nan
candidate_0013,cmaes,2.64080,2.64080,2.65176,1.850,CLAIMABLE,nan
candidate_0014,gradient,2.64049,2.64049,2.64692,1.664,CLAIMABLE,nan
candidate_0015,gradient,2.64044,2.64044,2.64572,1.618,CLAIMABLE,nan
candidate_0016,gradient,2.64043,2.64043,2.65169,1.847,CLAIMABLE,nan
candidate_0017,gradient,2.64015,2.64015,2.65041,1.798,CLAIMABLE,nan
candidate_0018,gradient,2.64002,2.64002,2.63941,1.376,CLAIMABLE,nan
candidate_0019,gradient,2.63983,2.63983,2.65639,2.028,CLAIMABLE,nan
