name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,cmaes,2.63848,2.63787,2.63406,0.692,CLAIMABLE,nan
candidate_0001,cmaes,2.63809,2.63759,2.62796,0.459,CLAIMABLE,nan
candidate_0002,cmaes,2.63804,2.63738,2.63100,0.575,CLAIMABLE,nan
candidate_0003,cmaes,2.63747,2.63683,2.62827,0.471,CLAIMABLE,nan
candidate_0004,cmaes,2.63746,2.63682,2.63484,0.722,CLAIMABLE,nan
candidate_0005,cmaes,2.63709,2.63679,2.63452,0.710,CLAIMABLE,nan
candidate_0006,cmaes,2.63778,2.63678,2.63556,0.750,CLAIMABLE,nan
candidate_0007,cmaes,2.63694,2.63664,2.62984,0.531,CLAIMABLE,nan
candidate_0008,cmaes,2.63725,2.63656,2.64277,1.025,CLAIMABLE,nan
candidate_0009,cmaes,2.63715,2.63642,2.63038,0.552,CLAIMABLE,nan
candidate_0010,cmaes,2.63736,2.63641,2.62562,0.369,CLAIMABLE,nan
candidate_0011,gradient,2.63627,2.63593,2.63171,0.602,CLAIMABLE,nan
candidate_0012,cmaes,2.63659,2.63580,2.63878,0.872,CLAIMABLE,nan
candidate_0013,gradient,2.63569,2.63514,2.63162,0.599,CLAIMABLE,nan
candidate_0014,gradient,2.63513,2.63471,2.62945,0.516,CLAIMABLE,nan
candidate_0015,gradient,2.63491,2.63466,2.62831,0.472,CLAIMABLE,nan
candidate_0016,gradient,2.63513,2.63459,2.63352,0.671,CLAIMABLE,nan
candidate_0017,gradient,2.63531,2.63453,2.63818,0.850,CLAIMABLE,nan
candidate_0018,gradient,2.63494,2.63452,2.63613,0.771,CLAIMABLE,nan
candidate_0019,gradient,2.63513,2.63449,2.63211,0.618,CLAIMABLE,nan
