name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,cmaes,2.62982,2.62925,2.63153,1.234,CLAIMABLE,nan
candidate_0001,cmaes,2.62968,2.62916,2.63562,1.391,CLAIMABLE,nan
candidate_0002,cmaes,2.63030,2.62907,2.62916,1.143,CLAIMABLE,nan
candidate_0003,cmaes,2.62981,2.62879,2.64490,1.748,CLAIMABLE,nan
candidate_0004,cmaes,2.62997,2.62877,2.64065,1.585,CLAIMABLE,nan
candidate_0005,cmaes,2.62941,2.62876,2.63857,1.505,CLAIMABLE,nan
candidate_0006,cmaes,2.62946,2.62868,2.64300,1.675,CLAIMABLE,nan
candidate_0007,cmaes,2.62935,2.62842,2.64042,1.576,CLAIMABLE,nan
candidate_0008,cmaes,2.62936,2.62800,2.63488,1.363,CLAIMABLE,nan
candidate_0009,cmaes,2.62908,2.62793,2.64119,1.605,CLAIMABLE,nan
candidate_0010,cmaes,2.62811,2.62755,2.63205,1.254,CLAIMABLE,nan
candidate_0011,gradient,2.62831,2.62715,2.63475,1.358,CLAIMABLE,nan
candidate_0012,gradient,2.62804,2.62685,2.64062,1.583,CLAIMABLE,nan
candidate_0013,gradient,2.62736,2.62673,2.63065,1.200,CLAIMABLE,nan
candidate_0014,cmaes,2.62735,2.62673,2.63038,1.189,CLAIMABLE,nan
candidate_0015,gradient,2.62801,2.62665,2.64782,1.861,CLAIMABLE,nan
candidate_0016,gradient,2.62721,2.62656,2.62521,0.991,CLAIMABLE,nan
candidate_0017,gradient,2.62715,2.62654,2.63108,1.216,CLAIMABLE,nan
candidate_0018,gradient,2.62698,2.62641,2.63466,1.354,CLAIMABLE,nan
candidate_0019,gradient,2.62693,2.62614,2.63839,1.498,CLAIMABLE,nan
