name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,cmaes,2.64171,2.64025,2.64620,1.636,CLAIMABLE,nan
candidate_0001,cmaes,2.64114,2.63967,2.64489,1.586,CLAIMABLE,nan
candidate_0002,cmaes,2.64109,2.63964,2.66753,2.456,CLAIMABLE,2.61107052733232
candidate_0003,cmaes,2.64100,2.63952,2.64493,1.588,CLAIMABLE,nan
candidate_0004,cmaes,2.64073,2.63926,2.65516,1.981,CLAIMABLE,nan
candidate_0005,cmaes,2.64048,2.63900,2.63293,1.127,CLAIMABLE,nan
candidate_0006,cmaes,2.64008,2.63858,2.64585,1.623,CLAIMABLE,nan
candidate_0007,cmaes,2.63967,2.63816,2.63114,1.058,CLAIMABLE,nan
candidate_0008,cmaes,2.63917,2.63768,2.65556,1.996,CLAIMABLE,nan
candidate_0009,cmaes,2.63916,2.63761,2.64846,1.723,CLAIMABLE,nan
candidate_0010,gradient,2.63909,2.63760,2.65080,1.813,CLAIMABLE,nan
candidate_0011,cmaes,2.63874,2.63725,2.62000,0.630,CLAIMABLE,nan
candidate_0012,gradient,2.63863,2.63716,2.66699,2.435,CLAIMABLE,nan
candidate_0013,gradient,2.63851,2.63701,2.64727,1.677,CLAIMABLE,nan
candidate_0014,gradient,2.63844,2.63693,2.65622,2.021,CLAIMABLE,nan
candidate_0015,gradient,2.63841,2.63692,2.64357,1.535,CLAIMABLE,nan
candidate_0016,cmaes,2.63826,2.63678,2.64851,1.725,CLAIMABLE,nan
candidate_0017,gradient,2.63804,2.63653,2.63652,1.265,CLAIMABLE,nan
candidate_0018,gradient,2.63771,2.63620,2.64725,1.677,CLAIMABLE,nan
candidate_0019,gradient,2.63709,2.63552,2.65428,1.947,CLAIMABLE,nan
