name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,cmaes,2.63567,2.63431,2.65518,2.534,CLAIMABLE,nan
candidate_0001,cmaes,2.63491,2.63359,2.65644,2.582,CLAIMABLE,nan
candidate_0002,cmaes,2.63312,2.63180,2.65249,2.430,CLAIMABLE,nan
candidate_0003,cmaes,2.63291,2.63159,2.63608,1.796,CLAIMABLE,nan
candidate_0004,cmaes,2.63251,2.63118,2.64988,2.329,CLAIMABLE,nan
candidate_0005,cmaes,2.63250,2.63116,2.64279,2.055,CLAIMABLE,nan
candidate_0006,cmaes,2.63236,2.63102,2.63255,1.660,CLAIMABLE,nan
candidate_0007,gradient,2.63242,2.63100,2.65008,2.337,CLAIMABLE,nan
candidate_0008,cmaes,2.63222,2.63087,2.64271,2.052,CLAIMABLE,nan
candidate_0009,cmaes,2.63202,2.63069,2.65268,2.437,CLAIMABLE,nan
candidate_0010,gradient,2.63180,2.63045,2.64986,2.328,CLAIMABLE,nan
candidate_0011,cmaes,2.63150,2.63018,2.64104,1.988,CLAIMABLE,nan
candidate_0012,cmaes,2.63147,2.63011,2.63841,1.886,CLAIMABLE,nan
candidate_0013,cmaes,2.63094,2.62958,2.63552,1.775,CLAIMABLE,nan
candidate_0014,gradient,2.63037,2.62902,2.64717,2.225,CLAIMABLE,nan
candidate_0015,gradient,2.63016,2.62881,2.64591,2.176,CLAIMABLE,nan
candidate_0016,gradient,2.62997,2.62861,2.63210,1.643,CLAIMABLE,nan
candidate_0017,gradient,2.62948,2.62814,2.63841,1.886,CLAIMABLE,nan
candidate_0018,gradient,2.62954,2.62813,2.65371,2.477,CLAIMABLE,nan
candidate_0019,gradient,2.62945,2.62805,2.63360,1.701,CLAIMABLE,nan
