sample_id,class,sigma,seed,E,eta,E_nir,parasitic_frac,fill_achieved,radius_scale,n_redraws,n_restarts
0,ordered,0.0000,20260709,2.457032,0.344816,4.600225,0.035983,0.384845,1.000000,0,0
1,jitter,0.4000,21260709,2.568344,0.360437,5.451088,0.049210,0.384845,1.000000,3604,5
2,jitter,0.4000,21260710,2.550140,0.357883,5.392048,0.048773,0.384845,1.000000,4121,1
3,jitter,0.4000,21260711,2.544424,0.357080,5.400896,0.048529,0.384845,1.000000,615,0
4,jitter,0.4000,21260712,2.555671,0.358659,5.475455,0.049250,0.384845,1.000000,2561,1
5,jitter,0.4000,21260713,2.558616,0.359072,5.439650,0.049199,0.384845,1.000000,2648,9
6,jitter,0.4000,21260714,2.576664,0.361605,5.509638,0.048857,0.384845,1.000000,960,18
7,jitter,0.4000,21260715,2.535198,0.355786,5.389119,0.047834,0.384845,1.000000,379,3
8,jitter,0.4000,21260716,2.559885,0.359250,5.555412,0.049759,0.384845,1.000000,1089,16
9,jitter,0.4000,21260717,2.565057,0.359976,5.552061,0.049352,0.384845,1.000000,3302,8
10,jitter,0.4000,21260718,2.559330,0.359172,5.403612,0.048388,0.384845,1.000000,3897,24
11,jitter,0.4000,21260719,2.562830,0.359663,5.497905,0.049138,0.384845,1.000000,2567,13
12,jitter,0.4000,21260720,2.570846,0.360788,5.507124,0.049912,0.384845,1.000000,2914,0
13,jitter,0.4000,21260721,2.563355,0.359737,5.423660,0.048433,0.384845,1.000000,2393,0
14,jitter,0.4000,21260722,2.539736,0.356422,5.300383,0.048232,0.384845,1.000000,1742,0
15,jitter,0.4000,21260723,2.559776,0.359235,5.506016,0.049360,0.384845,1.000000,3540,7
16,jitter,0.4000,21260724,2.563442,0.359749,5.464162,0.049816,0.384845,1.000000,2977,13
17,jitter,0.4000,21260725,2.556881,0.358828,5.458870,0.049308,0.384845,1.000000,2411,0
18,jitter,0.4000,21260726,2.568482,0.360457,5.545221,0.050307,0.384845,1.000000,2141,14
20,jitter,0.4000,21260728,2.553455,0.358348,5.359427,0.048593,0.384845,1.000000,761,0
