sample_id,class,sigma,seed,E,eta,E_nir,parasitic_frac,fill_achieved,radius_scale,n_redraws,n_restarts
0,ordered,0.0000,20260709,2.457035,0.344816,4.600226,0.035983,0.384845,1.000000,0,0
1,jitter,0.0200,21260709,2.544443,0.357083,5.135995,0.041234,0.384845,1.000000,0,0
2,jitter,0.0200,21260710,2.528218,0.354806,5.036170,0.041200,0.384845,1.000000,0,0
3,jitter,0.0200,21260711,2.550457,0.357927,5.142447,0.041430,0.384845,1.000000,0,0
4,jitter,0.0200,21260712,2.554465,0.358489,5.105296,0.041245,0.384845,1.000000,0,0
5,jitter,0.0200,21260713,2.534892,0.355743,5.036106,0.040404,0.384845,1.000000,0,0
7,jitter,0.0200,21260715,2.540629,0.356548,5.078782,0.041044,0.384845,1.000000,0,0
8,jitter,0.0200,21260716,2.545061,0.357170,5.122308,0.041552,0.384845,1.000000,0,0
10,jitter,0.0200,21260718,2.543221,0.356912,5.107953,0.041143,0.384845,1.000000,0,0
11,jitter,0.0200,21260719,2.535876,0.355881,5.111714,0.040956,0.384845,1.000000,0,0
12,jitter,0.0200,21260720,2.538662,0.356272,5.069354,0.040918,0.384845,1.000000,0,0
13,jitter,0.0200,21260721,2.555917,0.358693,5.154667,0.041667,0.384845,1.000000,0,0
14,jitter,0.0200,21260722,2.543081,0.356892,5.098638,0.041234,0.384845,1.000000,0,0
15,jitter,0.0200,21260723,2.537601,0.356123,5.067451,0.040819,0.384845,1.000000,0,0
16,jitter,0.0200,21260724,2.546701,0.357400,5.140472,0.041057,0.384845,1.000000,0,0
17,jitter,0.0200,21260725,2.535738,0.355861,5.067148,0.040649,0.384845,1.000000,0,0
19,jitter,0.0200,21260727,2.544646,0.357112,5.132412,0.040880,0.384845,1.000000,0,0
20,jitter,0.0200,21260728,2.548630,0.357671,5.126076,0.041228,0.384845,1.000000,0,0
21,jitter,0.0200,21260729,2.540541,0.356535,5.095619,0.041319,0.384845,1.000000,0,0
22,jitter,0.0200,21260730,2.540049,0.356466,5.078187,0.041052,0.384845,1.000000,0,0
23,jitter,0.0200,21260731,2.547722,0.357543,5.113160,0.041159,0.384845,1.000000,0,0
24,jitter,0.0200,21260732,2.542762,0.356847,5.106310,0.040997,0.384845,1.000000,0,0
25,jitter,0.0200,21260733,2.537034,0.356043,5.083671,0.040998,0.384845,1.000000,0,0
26,jitter,0.0200,21260734,2.540224,0.356491,5.078828,0.040675,0.384845,1.000000,0,0
28,jitter,0.0200,21260736,2.541106,0.356615,5.094875,0.041320,0.384845,1.000000,0,0
29,jitter,0.0200,21260737,2.550117,0.357879,5.116740,0.041151,0.384845,1.000000,0,0
30,jitter,0.0200,21260738,2.533076,0.355488,5.066589,0.040718,0.384845,1.000000,0,0
31,jitter,0.0200,21260739,2.533938,0.355609,5.058855,0.040962,0.384845,1.000000,0,0
32,jitter,0.0200,21260740,2.543917,0.357009,5.093626,0.040754,0.384845,1.000000,0,0
33,jitter,0.0200,21260741,2.546681,0.357397,5.102347,0.040879,0.384845,1.000000,0,0
34,jitter,0.0200,21260742,2.546129,0.357320,5.094384,0.040732,0.384845,1.000000,0,0
35,jitter,0.0200,21260743,2.535768,0.355866,5.034579,0.041025,0.384845,1.000000,0,0
36,jitter,0.0200,21260744,2.544256,0.357057,5.131659,0.040922,0.384845,1.000000,0,0
37,jitter,0.0200,21260745,2.542955,0.356874,5.079920,0.040909,0.384845,1.000000,0,0
38,jitter,0.0200,21260746,2.542613,0.356826,5.104130,0.041118,0.384845,1.000000,0,0
39,jitter,0.0200,21260747,2.535413,0.355816,5.050769,0.040798,0.384845,1.000000,0,0
40,jitter,0.0200,21260748,2.546193,0.357329,5.117716,0.041014,0.384845,1.000000,0,0
42,jitter,0.0200,21260750,2.542985,0.356878,5.102315,0.040937,0.384845,1.000000,0,0
45,jitter,0.0200,21260753,2.542152,0.356761,5.123857,0.040962,0.384845,1.000000,0,0
46,jitter,0.0200,21260754,2.526860,0.354615,5.037041,0.041031,0.384845,1.000000,0,0
47,jitter,0.0200,21260755,2.530191,0.355083,5.051317,0.040765,0.384845,1.000000,0,0
48,jitter,0.0200,21260756,2.538533,0.356254,5.068667,0.040846,0.384845,1.000000,0,0
49,jitter,0.0200,21260757,2.533626,0.355565,5.059043,0.041122,0.384845,1.000000,0,0
50,jitter,0.0200,21260758,2.536844,0.356016,5.092720,0.040666,0.384845,1.000000,0,0
51,jitter,0.0200,21260759,2.537616,0.356125,5.050239,0.040947,0.384845,1.000000,0,0
52,jitter,0.0200,21260760,2.531228,0.355228,5.017557,0.040686,0.384845,1.000000,0,0
53,jitter,0.0200,21260761,2.552031,0.358148,5.160836,0.041202,0.384845,1.000000,0,0
54,jitter,0.0200,21260762,2.546167,0.357325,5.101291,0.041319,0.384845,1.000000,0,0
55,jitter,0.0200,21260763,2.546921,0.357431,5.107897,0.041396,0.384845,1.000000,0,0
56,jitter,0.0200,21260764,2.544901,0.357147,5.109365,0.041365,0.384845,1.000000,0,0
57,jitter,0.0200,21260765,2.540618,0.356546,5.081085,0.041211,0.384845,1.000000,0,0
58,jitter,0.0200,21260766,2.538925,0.356309,5.070869,0.040819,0.384845,1.000000,0,0
59,jitter,0.0200,21260767,2.542998,0.356880,5.109456,0.041171,0.384845,1.000000,0,0
60,jitter,0.0200,21260768,2.542283,0.356780,5.065325,0.040772,0.384845,1.000000,0,0
61,jitter,0.0200,21260769,2.541569,0.356680,5.082392,0.040940,0.384845,1.000000,0,0
62,jitter,0.0200,21260770,2.543590,0.356963,5.107626,0.041151,0.384845,1.000000,0,0
63,jitter,0.0200,21260771,2.545088,0.357173,5.089010,0.040737,0.384845,1.000000,0,0
64,jitter,0.0200,21260772,2.542219,0.356771,5.098149,0.041355,0.384845,1.000000,0,0
65,jitter,0.0200,21260773,2.539941,0.356451,5.080959,0.040780,0.384845,1.000000,0,0
66,jitter,0.0200,21260774,2.537449,0.356101,5.067793,0.040880,0.384845,1.000000,0,0
67,jitter,0.0200,21260775,2.548249,0.357617,5.089381,0.041114,0.384845,1.000000,0,0
68,jitter,0.0200,21260776,2.546900,0.357428,5.108327,0.041037,0.384845,1.000000,0,0
70,jitter,0.0200,21260778,2.537866,0.356160,5.097430,0.041194,0.384845,1.000000,0,0
71,jitter,0.0200,21260779,2.535403,0.355814,5.064422,0.040973,0.384845,1.000000,0,0
72,jitter,0.0200,21260780,2.537462,0.356103,5.100469,0.040898,0.384845,1.000000,0,0
73,jitter,0.0200,21260781,2.542614,0.356826,5.125705,0.041116,0.384845,1.000000,0,0
74,jitter,0.0200,21260782,2.521933,0.353924,4.988492,0.040018,0.384845,1.000000,0,0
75,jitter,0.0200,21260783,2.536414,0.355956,5.080567,0.040635,0.384845,1.000000,0,0
76,jitter,0.0400,21270709,2.593706,0.363996,5.448329,0.044692,0.384845,1.000000,0,0
77,jitter,0.0400,21270710,2.596265,0.364356,5.455780,0.044863,0.384845,1.000000,0,0
78,jitter,0.0400,21270711,2.587844,0.363174,5.422614,0.045057,0.384845,1.000000,0,0
79,jitter,0.0400,21270712,2.604546,0.365518,5.527614,0.045346,0.384845,1.000000,0,0
80,jitter,0.0400,21270713,2.588296,0.363237,5.499219,0.044967,0.384845,1.000000,0,0
81,jitter,0.0400,21270714,2.588810,0.363309,5.404301,0.044122,0.384845,1.000000,0,0
82,jitter,0.0400,21270715,2.580591,0.362156,5.368620,0.043989,0.384845,1.000000,0,0
83,jitter,0.0400,21270716,2.601758,0.365126,5.507166,0.045419,0.384845,1.000000,0,0
84,jitter,0.0400,21270717,2.589814,0.363450,5.476605,0.044843,0.384845,1.000000,0,0
85,jitter,0.0400,21270718,2.584247,0.362669,5.384574,0.043819,0.384845,1.000000,0,0
86,jitter,0.0400,21270719,2.581936,0.362345,5.364919,0.044295,0.384845,1.000000,0,0
87,jitter,0.0400,21270720,2.599230,0.364772,5.495706,0.045606,0.384845,1.000000,0,0
88,jitter,0.0400,21270721,2.591002,0.363617,5.444344,0.044830,0.384845,1.000000,0,0
89,jitter,0.0400,21270722,2.594209,0.364067,5.477803,0.045070,0.384845,1.000000,0,0
90,jitter,0.0400,21270723,2.591711,0.363716,5.469634,0.044692,0.384845,1.000000,0,0
91,jitter,0.0400,21270724,2.591282,0.363656,5.457968,0.044410,0.384845,1.000000,0,0
92,jitter,0.0400,21270725,2.593995,0.364037,5.466126,0.044343,0.384845,1.000000,0,0
